Ratio,GaussianRatioBeta,AR1RatioBeta,GaussianRatioTrace,AR1RatioTrace,Gaussian_P05,Gaussian_P20,Gaussian_P35,Gaussian_P50,Gaussian_P65,Gaussian_P80,Gaussian_P95,Gaussian_Prob_Lt_1.00,Gaussian_Prob_Lt_3.16,Gaussian_Prob_Lt_10.00,Gaussian_Prob_Lt_31.62,Gaussian_Prob_Lt_100.00,AR1_P05,AR1_P20,AR1_P35,AR1_P50,AR1_P65,AR1_P80,AR1_P95,AR1_Prob_Lt_1.00,AR1_Prob_Lt_3.16,AR1_Prob_Lt_10.00,AR1_Prob_Lt_31.62,AR1_Prob_Lt_100.00
0.501187,0.165089,0.001373,0.003685,0.000193,2.109132,2.814821,3.424112,4.074250,4.891713,6.094183,8.993682,0.000000,0.293000,0.969000,1.000000,1.000000,4.478568,6.049295,7.480367,9.120330,11.107641,14.075714,23.373676,0.000000,0.007000,0.564000,0.983000,1.000000
0.503503,0.165852,0.001380,0.003702,0.000194,2.109132,2.814821,3.424112,4.074250,4.891713,6.094183,8.993682,0.000000,0.293000,0.969000,1.000000,1.000000,4.478568,6.049295,7.480367,9.120330,11.107641,14.075714,23.373676,0.000000,0.007000,0.564000,0.983000,1.000000
0.505829,0.166619,0.001386,0.003719,0.000194,2.174262,2.871363,3.477710,4.176508,4.997578,6.274855,9.005973,0.000000,0.274000,0.967000,1.000000,1.000000,4.637392,6.226563,7.738269,9.339024,11.507482,14.552181,24.132609,0.000000,0.005000,0.546000,0.982000,1.000000
0.508166,0.167388,0.001392,0.003736,0.000195,2.174262,2.871363,3.477710,4.176508,4.997578,6.274855,9.005973,0.000000,0.274000,0.967000,1.000000,1.000000,4.637392,6.226563,7.738269,9.339024,11.507482,14.552181,24.132609,0.000000,0.005000,0.546000,0.982000,1.000000
0.510514,0.168162,0.001399,0.003754,0.000196,2.174262,2.871363,3.477710,4.176508,4.997578,6.274855,9.005973,0.000000,0.274000,0.967000,1.000000,1.000000,4.637392,6.226563,7.738269,9.339024,11.507482,14.552181,24.132609,0.000000,0.005000,0.546000,0.982000,1.000000
0.512873,0.168939,0.001405,0.003771,0.000197,2.225343,2.917608,3.555658,4.281910,5.108084,6.388848,9.254410,0.000000,0.259000,0.962000,1.000000,1.000000,4.907629,6.509073,8.019151,9.731275,11.870513,15.153852,25.226642,0.000000,0.003000,0.515000,0.978000,1.000000
0.515243,0.169719,0.001412,0.003788,0.000198,2.225343,2.917608,3.555658,4.281910,5.108084,6.388848,9.254410,0.000000,0.259000,0.962000,1.000000,1.000000,4.907629,6.509073,8.019151,9.731275,11.870513,15.153852,25.226642,0.000000,0.003000,0.515000,0.978000,1.000000
0.517624,0.170503,0.001418,0.003806,0.000199,2.225343,2.917608,3.555658,4.281910,5.108084,6.388848,9.254410,0.000000,0.259000,0.962000,1.000000,1.000000,4.907629,6.509073,8.019151,9.731275,11.870513,15.153852,25.226642,0.000000,0.003000,0.515000,0.978000,1.000000
0.520015,0.171291,0.001425,0.003823,0.000200,2.248251,2.990322,3.640127,4.363094,5.197554,6.465430,9.546140,0.000000,0.244000,0.960000,1.000000,1.000000,4.960949,6.682888,8.299139,10.086196,12.109016,15.777098,25.771361,0.000000,0.003000,0.495000,0.977000,1.000000
0.522418,0.172083,0.001431,0.003841,0.000201,2.248251,2.990322,3.640127,4.363094,5.197554,6.465430,9.546140,0.000000,0.244000,0.960000,1.000000,1.000000,4.960949,6.682888,8.299139,10.086196,12.109016,15.777098,25.771361,0.000000,0.003000,0.495000,0.977000,1.000000
0.524832,0.172878,0.001438,0.003859,0.000202,2.248251,2.990322,3.640127,4.363094,5.197554,6.465430,9.546140,0.000000,0.244000,0.960000,1.000000,1.000000,4.960949,6.682888,8.299139,10.086196,12.109016,15.777098,25.771361,0.000000,0.003000,0.495000,0.977000,1.000000
0.527257,0.173677,0.001445,0.003877,0.000203,2.248251,2.990322,3.640127,4.363094,5.197554,6.465430,9.546140,0.000000,0.244000,0.960000,1.000000,1.000000,4.960949,6.682888,8.299139,10.086196,12.109016,15.777098,25.771361,0.000000,0.003000,0.495000,0.977000,1.000000
0.529693,0.174479,0.001451,0.003895,0.000204,2.287151,3.038136,3.737636,4.433173,5.330889,6.546649,9.620192,0.000000,0.232000,0.955000,1.000000,1.000000,5.079622,6.978650,8.697946,10.480114,12.804113,16.337404,26.547246,0.000000,0.003000,0.459000,0.972000,1.000000
0.532140,0.175285,0.001458,0.003913,0.000205,2.287151,3.038136,3.737636,4.433173,5.330889,6.546649,9.620192,0.000000,0.232000,0.955000,1.000000,1.000000,5.079622,6.978650,8.697946,10.480114,12.804113,16.337404,26.547246,0.000000,0.003000,0.459000,0.972000,1.000000
0.534599,0.176095,0.001465,0.003931,0.000206,2.287151,3.038136,3.737636,4.433173,5.330889,6.546649,9.620192,0.000000,0.232000,0.955000,1.000000,1.000000,5.079622,6.978650,8.697946,10.480114,12.804113,16.337404,26.547246,0.000000,0.003000,0.459000,0.972000,1.000000
0.537069,0.176909,0.001472,0.003949,0.000206,2.319968,3.111415,3.806845,4.528754,5.431367,6.673097,9.867970,0.000000,0.215000,0.954000,0.999000,1.000000,5.192672,7.169372,8.907221,10.936781,13.056330,16.990139,27.403755,0.000000,0.003000,0.434000,0.971000,1.000000
0.539550,0.177726,0.001478,0.003967,0.000207,2.319968,3.111415,3.806845,4.528754,5.431367,6.673097,9.867970,0.000000,0.215000,0.954000,0.999000,1.000000,5.192672,7.169372,8.907221,10.936781,13.056330,16.990139,27.403755,0.000000,0.003000,0.434000,0.971000,1.000000
0.542043,0.178547,0.001485,0.003985,0.000208,2.319968,3.111415,3.806845,4.528754,5.431367,6.673097,9.867970,0.000000,0.215000,0.954000,0.999000,1.000000,5.192672,7.169372,8.907221,10.936781,13.056330,16.990139,27.403755,0.000000,0.003000,0.434000,0.971000,1.000000
0.544548,0.179372,0.001492,0.004004,0.000209,2.395438,3.194055,3.879306,4.627839,5.567514,6.816936,9.922991,0.000000,0.196000,0.952000,0.999000,1.000000,5.340672,7.358417,9.144510,11.297161,13.546130,17.463971,28.478595,0.000000,0.002000,0.404000,0.965000,1.000000
0.547064,0.180201,0.001499,0.004022,0.000210,2.395438,3.194055,3.879306,4.627839,5.567514,6.816936,9.922991,0.000000,0.196000,0.952000,0.999000,1.000000,5.340672,7.358417,9.144510,11.297161,13.546130,17.463971,28.478595,0.000000,0.002000,0.404000,0.965000,1.000000
0.549592,0.181034,0.001506,0.004041,0.000211,2.395438,3.194055,3.879306,4.627839,5.567514,6.816936,9.922991,0.000000,0.196000,0.952000,0.999000,1.000000,5.340672,7.358417,9.144510,11.297161,13.546130,17.463971,28.478595,0.000000,0.002000,0.404000,0.965000,1.000000
0.552131,0.181870,0.001513,0.004060,0.000212,2.455871,3.242652,3.959204,4.725049,5.706888,6.929491,10.006008,0.000000,0.183000,0.949000,0.999000,1.000000,5.597215,7.506677,9.448948,11.654618,14.114483,17.980799,29.387028,0.000000,0.001000,0.383000,0.962000,0.999000
0.554682,0.182710,0.001520,0.004078,0.000213,2.455871,3.242652,3.959204,4.725049,5.706888,6.929491,10.006008,0.000000,0.183000,0.949000,0.999000,1.000000,5.597215,7.506677,9.448948,11.654618,14.114483,17.980799,29.387028,0.000000,0.001000,0.383000,0.962000,0.999000
0.557245,0.183555,0.001527,0.004097,0.000214,2.455871,3.242652,3.959204,4.725049,5.706888,6.929491,10.006008,0.000000,0.183000,0.949000,0.999000,1.000000,5.597215,7.506677,9.448948,11.654618,14.114483,17.980799,29.387028,0.000000,0.001000,0.383000,0.962000,0.999000
0.559820,0.184403,0.001534,0.004116,0.000215,2.455871,3.242652,3.959204,4.725049,5.706888,6.929491,10.006008,0.000000,0.183000,0.949000,0.999000,1.000000,5.597215,7.506677,9.448948,11.654618,14.114483,17.980799,29.387028,0.000000,0.001000,0.383000,0.962000,0.999000
0.562406,0.185255,0.001541,0.004135,0.000216,2.500654,3.306359,4.061855,4.831583,5.866725,7.082724,10.147871,0.000000,0.169000,0.942000,0.998000,1.000000,5.674887,7.808854,9.966750,11.960696,14.573879,18.513131,30.304081,0.000000,0.001000,0.355000,0.955000,0.999000
0.565005,0.186111,0.001548,0.004154,0.000217,2.500654,3.306359,4.061855,4.831583,5.866725,7.082724,10.147871,0.000000,0.169000,0.942000,0.998000,1.000000,5.674887,7.808854,9.966750,11.960696,14.573879,18.513131,30.304081,0.000000,0.001000,0.355000,0.955000,0.999000
0.567615,0.186971,0.001555,0.004173,0.000218,2.500654,3.306359,4.061855,4.831583,5.866725,7.082724,10.147871,0.000000,0.169000,0.942000,0.998000,1.000000,5.674887,7.808854,9.966750,11.960696,14.573879,18.513131,30.304081,0.000000,0.001000,0.355000,0.955000,0.999000
0.570238,0.187834,0.001562,0.004193,0.000219,2.546427,3.373905,4.122437,4.891962,5.945796,7.224526,10.522778,0.000000,0.162000,0.929000,0.998000,1.000000,5.807508,8.128673,10.205711,12.267302,15.143086,19.323744,31.211424,0.000000,0.000000,0.337000,0.951000,0.999000
0.572873,0.188702,0.001570,0.004212,0.000220,2.546427,3.373905,4.122437,4.891962,5.945796,7.224526,10.522778,0.000000,0.162000,0.929000,0.998000,1.000000,5.807508,8.128673,10.205711,12.267302,15.143086,19.323744,31.211424,0.000000,0.000000,0.337000,0.951000,0.999000
0.575520,0.189574,0.001577,0.004232,0.000221,2.546427,3.373905,4.122437,4.891962,5.945796,7.224526,10.522778,0.000000,0.162000,0.929000,0.998000,1.000000,5.807508,8.128673,10.205711,12.267302,15.143086,19.323744,31.211424,0.000000,0.000000,0.337000,0.951000,0.999000
0.578179,0.190450,0.001584,0.004251,0.000222,2.622528,3.450368,4.255903,5.074678,6.084900,7.313219,10.711335,0.000000,0.143000,0.922000,0.998000,1.000000,6.038390,8.344439,10.631942,12.664474,15.616304,19.938885,31.983779,0.000000,0.000000,0.317000,0.945000,0.999000
0.580850,0.191330,0.001592,0.004271,0.000223,2.622528,3.450368,4.255903,5.074678,6.084900,7.313219,10.711335,0.000000,0.143000,0.922000,0.998000,1.000000,6.038390,8.344439,10.631942,12.664474,15.616304,19.938885,31.983779,0.000000,0.000000,0.317000,0.945000,0.999000
